category,orders,gmv,aov,avg_review_score,negative_reviews,reviews,avg_delivery_days,late_orders,canceled_orders,negative_review_rate,late_delivery_rate,cancellation_rate,risk_score
cine_photo,65,8189.66,113.74527777777777,4.194444444444445,11,72,10.128571428571428,4,0,0.1527777777777778,0.06153846153846154,0.0,0.21431623931623933
computers,181,232799.43,1146.7952216748768,4.175,26,200,13.050251256281408,10,0,0.13,0.055248618784530384,0.0,0.1852486187845304
computers_accessories,6689,1059272.4,135.33568417018014,3.9326008738113596,1433,7782,12.779798508439095,496,46,0.18414289385762014,0.07415159216624309,0.006876962176708028,0.26517144820057126
consoles_games,1062,177293.24,155.9307299912049,4.023534635879218,173,1126,13.144168962350781,64,10,0.15364120781527532,0.060263653483992465,0.009416195856873822,0.2233210571561416
construction_tools_construction,748,165328.0,177.96340150699677,4.0519480519480515,140,924,10.2882096069869,58,2,0.15151515151515152,0.07754010695187166,0.00267379679144385,0.23172905525846704
construction_tools_lights,244,48663.8,160.0782894736842,4.0508474576271185,43,295,9.245847176079733,22,2,0.14576271186440679,0.09016393442622951,0.00819672131147541,0.24412336760211173
construction_tools_safety,167,44463.62,229.1939175257732,3.844559585492228,39,193,11.426229508196721,5,5,0.20207253886010362,0.029940119760479042,0.029940119760479042,0.26195277838106173
cool_stuff,3632,719329.95,189.49682560590094,4.146597554492291,493,3762,11.898601398601398,217,16,0.13104731525784158,0.05974669603524229,0.004405286343612335,0.19519929763669622
costruction_tools_garden,194,31027.29,130.36676470588236,4.046218487394958,42,238,11.431034482758621,13,4,0.17647058823529413,0.06701030927835051,0.020618556701030927,0.26409945421467557
costruction_tools_tools,97,17934.170000000002,174.11815533980584,4.444444444444445,8,99,11.631067961165048,6,0,0.08080808080808081,0.061855670103092786,0.0,0.14266375091117361
diapers_and_hygiene,27,2141.27,54.90435897435897,3.2564102564102564,10,39,10.243243243243244,0,1,0.2564102564102564,0.0,0.037037037037037035,0.2934472934472934
drinks,297,28169.95,74.32704485488127,4.037533512064343,55,373,10.01939058171745,16,1,0.14745308310991956,0.05387205387205387,0.003367003367003367,0.20469214034897681
dvds_blu_ray,59,7288.13,113.87703125,4.079365079365079,11,63,12.508196721311476,4,2,0.1746031746031746,0.06779661016949153,0.03389830508474576,0.2762980898574119
electronics,2550,206825.06,74.74704011564872,4.037117903930131,433,2748,12.424697691462073,207,11,0.15756914119359533,0.0811764705882353,0.004313725490196078,0.2430593372720267
fashio_female_clothing,39,3425.39,71.36229166666666,3.78125,8,48,11.488888888888889,3,0,0.16666666666666666,0.07692307692307693,0.0,0.24358974358974358
fashion_bags_accessories,1864,184273.54,90.73044805514525,4.14529702970297,256,2020,10.615307150050352,105,6,0.12673267326732673,0.05633047210300429,0.003218884120171674,0.1862820294905027
fashion_childrens_clothes,8,665.36,83.17,4.5,1,8,8.142857142857142,0,0,0.125,0.0,0.0,0.125
fashion_male_clothing,112,12950.23,98.10780303030303,3.6412213740458017,37,131,12.472,7,1,0.2824427480916031,0.0625,0.008928571428571428,0.35387131952017453
fashion_shoes,240,28481.64,108.7085496183206,4.238372093023256,31,258,14.933852140077821,11,2,0.12015503875968993,0.04583333333333333,0.008333333333333333,0.17432170542635658
fashion_sport,27,2697.64,89.92133333333332,4.233333333333333,3,30,11.379310344827585,1,0,0.1,0.037037037037037035,0.0,0.13703703703703704
fashion_underwear_beach,121,11457.74,87.4636641221374,3.976923076923077,23,130,13.275590551181102,12,0,0.17692307692307693,0.09917355371900827,0.0,0.27609663064208523
fixed_telephony,217,64220.81,243.26064393939393,3.681992337164751,67,261,12.235294117647058,10,3,0.2567049808429119,0.04608294930875576,0.013824884792626729,0.3166128149442944
flowers,29,1598.91,48.45181818181818,4.419354838709677,2,31,10.696969696969697,1,0,0.06451612903225806,0.034482758620689655,0.0,0.09899888765294772
food,450,36664.44,71.89105882352942,4.218181818181818,64,495,9.100200400801603,35,1,0.1292929292929293,0.07777777777777778,0.0022222222222222222,0.20929292929292928
food_drink,227,19687.47,70.81823741007194,4.312274368231047,22,277,10.449814126394052,11,2,0.07942238267148015,0.048458149779735685,0.00881057268722467,0.13669110513844052
furniture_bedroom,95,24661.01,226.2477981651376,4.114678899082569,18,109,12.757281553398059,7,0,0.1651376146788991,0.07368421052631578,0.0,0.2388218252052149
furniture_decor,6449,902511.79,108.29275137988961,3.9073333333333333,1584,8250,12.404044117647059,574,36,0.192,0.08900604744921693,0.00558226081563033,0.28658830826484727
furniture_living_room,422,86884.73,172.73306163021869,3.9016064257028114,90,498,13.294949494949496,35,2,0.18072289156626506,0.08293838862559241,0.004739336492890996,0.26840061668474846
furniture_mattress_and_upholstery,38,5998.54,157.85631578947368,3.8157894736842106,8,38,13.891891891891891,5,0,0.21052631578947367,0.13157894736842105,0.0,0.3421052631578947
garden_tools,3518,584219.21,134.3959535311709,4.045538818076477,684,4315,13.231958762886597,280,19,0.1585168018539977,0.07959067652075043,0.005400795906765207,0.2435082742815133
health_beauty,8836,1441248.07,149.04323371251294,4.141826588791545,1312,9588,11.516953628393367,717,36,0.1368377138089278,0.0811453146220009,0.004074241738343142,0.22205727016927185
